"License","https://developers.pioupiou.fr/data-licensing"
"Attribution","(c) contributors of the OpenWindMap wind network <https://www.openwindmap.org>"
"time","latitude","longitude","wind_speed_min","wind_speed_avg","wind_speed_max","wind_heading","pressure"
"utc","degrees","degrees","km/h","km/h","km/h","degrees","(deprecated)"
"2026-05-23T11:38:46.000Z",45.701868,5.883572,0,7.75,10.5,337.5,""
"2026-05-23T11:43:46.000Z",45.701868,5.883572,8.25,9.5,10.5,337.5,""
"2026-05-23T11:48:50.000Z",45.701868,5.883572,8,9,10,337.5,""
"2026-05-23T11:53:50.000Z",45.701868,5.883572,8,9.25,10,337.5,""
"2026-05-23T11:58:52.000Z",45.701868,5.883572,5,7.25,8.75,337.5,""
"2026-05-23T12:03:52.000Z",45.701868,5.883572,3,4.5,6.25,0,""
"2026-05-23T12:08:56.000Z",45.701868,5.883572,3.75,5.5,8,337.5,""
"2026-05-23T12:13:56.000Z",45.701868,5.883572,6.5,7.5,8.75,0,""
"2026-05-23T12:18:58.000Z",45.701868,5.883572,7.25,8.75,10,337.5,""
"2026-05-23T12:23:58.000Z",45.701868,5.883572,7,9,10,337.5,""
"2026-05-23T12:29:41.000Z",45.701868,5.883572,6.25,8.25,9.5,337.5,""
"2026-05-23T12:34:41.000Z",45.701872,5.883524,6.25,7.5,9,337.5,""
"2026-05-23T12:39:43.000Z",45.701872,5.883524,8,9.5,10.5,337.5,""
"2026-05-23T12:44:43.000Z",45.701872,5.883524,8.25,9.25,10.5,337.5,""
"2026-05-23T12:49:47.000Z",45.701872,5.883524,10,10.5,11.5,337.5,""
"2026-05-23T12:54:47.000Z",45.701872,5.883524,10.5,11,12.5,315,""
"2026-05-23T12:59:49.000Z",45.701872,5.883524,9.75,11,12,337.5,""
"2026-05-23T13:04:49.000Z",45.701872,5.883524,7.25,9.25,10,337.5,""
"2026-05-23T13:09:53.000Z",45.701872,5.883524,6.5,8,9.75,315,""
"2026-05-23T13:14:53.000Z",45.701872,5.883524,9,9.75,11.5,315,""
"2026-05-23T13:19:55.000Z",45.701872,5.883524,9.5,11,12,315,""
"2026-05-23T13:24:55.000Z",45.701872,5.883524,9.5,10.5,11.5,315,""
"2026-05-23T13:29:59.000Z",45.701872,5.883524,9,9.75,11,337.5,""
"2026-05-23T13:34:59.000Z",45.701872,5.883524,8.25,9.25,9.75,337.5,""
"2026-05-23T13:40:01.000Z",45.701872,5.883524,8,8.75,9.75,337.5,""
"2026-05-23T13:45:01.000Z",45.701872,5.883524,7.5,8.25,9,0,""
"2026-05-23T13:50:05.000Z",45.701872,5.883524,7,7.25,7.75,0,""
"2026-05-23T13:55:05.000Z",45.701872,5.883524,3.75,6.75,7.75,337.5,""
"2026-05-23T14:00:08.000Z",45.701872,5.883524,3.75,5.75,7.25,337.5,""
"2026-05-23T14:05:08.000Z",45.701872,5.883524,3.75,4.25,4.75,337.5,""
"2026-05-23T14:10:10.000Z",45.701872,5.883524,2.75,3.5,4.25,337.5,""
"2026-05-23T14:15:10.000Z",45.701872,5.883524,2.75,5.25,7.75,292.5,""
"2026-05-23T14:20:14.000Z",45.701872,5.883524,1.75,3.5,5,292.5,""
"2026-05-23T14:25:14.000Z",45.701872,5.883524,2.5,3.5,4.75,315,""
"2026-05-23T14:30:17.000Z",45.701872,5.883524,2.25,3,3.5,337.5,""
"2026-05-23T14:35:17.000Z",45.701872,5.883524,2.75,4,4.75,0,""
"2026-05-23T14:40:20.000Z",45.701872,5.883524,4.25,4.75,5.25,0,""
"2026-05-23T14:45:20.000Z",45.701872,5.883524,0,1.5,4.5,337.5,""
"2026-05-23T14:50:23.000Z",45.701872,5.883524,0,3.5,5.25,337.5,""
"2026-05-23T14:55:23.000Z",45.701872,5.883524,3.25,4.25,5.5,315,""
"2026-05-23T15:00:26.000Z",45.701872,5.883524,4,4.5,5.25,315,""
